,Date,Day,Buy Price,Qty,Investment Amount
93,03-10-16,0,89.176003,56,4993.856167999999
94,01-11-16,1,88.183998,56,4938.303888
95,01-12-16,3,83.528999,59,4928.210941
96,02-01-17,0,83.511002,59,4927.149118
97,01-02-17,2,88.727997,56,4968.767832
98,01-03-17,2,91.596001,54,4946.184054
99,03-04-17,0,94.412003,52,4909.424156
100,02-05-17,1,95.032997,52,4941.715843999999
101,01-06-17,3,98.207001,50,4910.35005
102,03-07-17,0,98.420998,50,4921.0499
103,01-08-17,1,103.738998,48,4979.471904
104,01-09-17,4,102.856003,48,4937.088144
105,03-10-17,1,101.502998,49,4973.646902
106,01-11-17,2,107.460999,46,4943.205954
107,01-12-17,4,104.614998,47,4916.904906
108,01-01-18,0,107.814003,46,4959.444138
109,01-02-18,3,113.502998,44,4994.131912
110,01-03-18,3,108.119003,46,4973.4741380000005
111,02-04-18,0,105.811996,47,4973.163812
112,02-05-18,2,110.771004,45,4984.695180000001
113,01-06-18,4,110.991997,45,4994.639865
114,02-07-18,0,110.997002,45,4994.865089999999
115,01-08-18,2,118.124001,42,4961.208042
116,03-09-18,0,120.764999,41,4951.364959
117,01-10-18,0,114.955002,43,4943.065086
118,01-11-18,3,108.639,46,4997.394
119,03-12-18,0,113.799004,43,4893.357172
120,01-01-19,1,113.984001,43,4901.312043
121,01-02-19,4,113.857002,43,4895.851086
122,01-03-19,4,113.709999,43,4889.529957
123,01-04-19,0,122.080002,40,4883.20008
124,02-05-19,3,123.179001,40,4927.16004
125,03-06-19,0,126.797997,39,4945.121883
126,01-07-19,0,124.933998,40,4997.35992
127,01-08-19,3,116.273003,43,4999.7391290000005
128,03-09-19,1,114.516998,43,4924.230914
129,01-10-19,1,120.502998,41,4940.622918
130,01-11-19,4,126.140999,39,4919.498960999999
131,02-12-19,0,127.634003,39,4977.726117
132,01-01-20,2,129.419998,38,4917.959924
133,03-02-20,0,124.419998,40,4976.79992
134,02-03-20,0,118.389999,42,4972.379958
135,01-04-20,2,89.349998,55,4914.24989
136,04-05-20,0,98.800003,50,4940.00015
