,Date,Day,Buy Price,Qty,Investment Amount
84,01-01-16,4,80.505997,62,4991.371813999999
85,01-02-16,0,76.414001,65,4966.910065
86,31-03-16,3,79.126999,63,4985.000937
87,27-04-16,2,80.690002,61,4922.0901220000005
88,30-05-16,0,82.758003,60,4965.4801800000005
89,30-06-16,3,84.288002,59,4972.992118
90,28-07-16,3,88.117996,56,4934.607776000001
91,31-08-16,2,89.616997,55,4928.934835
92,08-09-16,3,91.278999,54,4929.065946
93,04-10-16,1,89.292999,55,4911.114944999999
94,01-11-16,1,88.183998,56,4938.303888
95,09-12-16,4,84.184998,59,4966.914882
96,27-01-17,4,87.987999,56,4927.327944000001
97,23-02-17,3,91.130997,54,4921.073837999999
98,31-03-17,4,93.827003,53,4972.831159
99,26-04-17,2,95.407997,52,4961.215843999999
100,31-05-17,2,98.222,50,4911.099999999999
101,09-06-17,4,98.954002,50,4947.7001
102,31-07-17,0,103.427002,48,4964.496096
103,02-08-17,2,103.778,48,4981.344
104,18-09-17,0,104.513,47,4912.111
105,30-10-17,0,106.948997,46,4919.653862
106,06-11-17,0,107.668999,46,4952.773954
107,29-12-17,4,108.447998,46,4988.607908
108,29-01-18,0,114.626999,43,4928.960957
109,01-02-18,3,113.502998,44,4994.131912
110,01-03-18,3,108.119003,46,4973.4741380000005
111,30-04-18,0,111.167999,44,4891.3919559999995
112,15-05-18,1,111.717003,44,4915.548132
113,12-06-18,1,112.626999,44,4955.587956
114,31-07-18,1,118.25,42,4966.5
115,28-08-18,1,122.189003,40,4887.56012
116,07-09-18,4,121.058998,41,4963.418918
117,01-10-18,0,114.955002,43,4943.065086
118,29-11-18,3,113.552002,44,4996.288088
119,19-12-18,2,114.540001,43,4925.220043
120,21-01-19,0,114.477997,43,4922.553871
121,07-02-19,3,115.697998,43,4975.013914
122,28-03-19,3,120.976997,41,4960.056877
123,16-04-19,1,123.752998,40,4950.11992
124,30-05-19,3,125.477997,39,4893.641883
125,03-06-19,0,126.797997,39,4945.121883
126,04-07-19,3,126.040001,39,4915.560039
127,09-08-19,4,117.614998,42,4939.829916
128,23-09-19,0,123.001999,40,4920.07996
129,31-10-19,3,125.498001,39,4894.422039
130,28-11-19,3,128.406006,38,4879.428228
131,30-12-19,0,130.259995,38,4949.87981
132,17-01-20,4,131.190002,38,4985.220076
133,13-02-20,3,129.300003,38,4913.400114
134,03-03-20,1,120.400002,41,4936.400082
135,30-04-20,3,104.18,47,4896.46
136,29-05-20,4,101.379997,49,4967.619853
